Address,YearBuilt,TotalLivingArea,FirstFloor,SecondFloor,ThirdFloor,Basement,FinishedBasement,LotSize
439 N Sugar Maple Ln,2019,1967,1967,0,0,1967,0,6500.0
441 Blue Moon Dr,2019,2212,1128,1084,0,1124,0,12482.0
442 N Sugar Maple Ln,2019,1503,763,740,0,763,0,6018.0
443 N Sugar Maple Ln,2019,2731,1549,1182,0,1549,0,6500.0
444 Venus Way,2019,2204,1124,1080,0,1124,0,7006.0
446 Hercules Trl,2020,1660,838,822,0,838,0,5439.0
446 N Sugar Maple Ln,2020,2056,1068,988,0,1068,0,7551.0
447 N Sugar Maple Ln,2020,2092,1086,1006,0,1082,0,6500.0
450 Hercules Trl,2019,1503,763,740,0,763,0,5377.0
4800 Buckeye Rd,2019,1568,832,736,0,832,500,9275.0
4918 Lake Mendota Dr,2020,4534,2408,2126,0,2408,1601,19965.0
501 N Sugar Maple Ln,2020,1974,1974,0,0,1974,0,6500.0
503 Hercules Trl,2019,1511,773,738,0,763,0,5808.0
503 Orion Trl,2019,1848,964,884,0,964,0,5808.0
503 Tawny Elm Pkwy,2020,1880,978,902,0,978,0,8021.0
504 Hercules Trl,2019,1482,1482,0,0,1482,0,5391.0
504 Milky Way,2020,2092,1086,1006,0,1086,0,5815.0
504 Orion Trl,2019,1740,1740,0,0,1740,0,5808.0
504 Tawny Elm Pkwy,2019,2491,1224,1267,0,1224,0,7532.0
505 Orion Trl,2019,1580,790,790,0,780,0,5714.0
506 Milky Way,2019,1503,763,740,0,763,0,5748.0
507 Tawny Elm Pkwy,2019,1620,1620,0,0,1620,0,6364.0
508 Tawny Elm Pkwy,2020,1815,917,898,0,911,0,7281.0
509 N Sugar Maple Ln,2020,1841,1841,0,0,1841,0,6500.0
510 N Sugar Maple Ln,2019,2400,1212,1188,0,1212,0,6500.0
511 Tawny Elm Pkwy,2020,1572,1572,0,0,1572,0,5900.0
5119 Spring Ct,2019,2189,1907,282,0,1595,1054,8167.0
513 N Sugar Maple Ln,2020,2400,1208,1192,0,1208,0,6739.0
514 Dragon Willow Ln,2020,2944,1539,1405,0,1539,699,11646.0
515 Tawny Elm Pkwy,2020,1812,1812,0,0,1812,445,5900.0
516 Noble Oak Run,2019,1848,964,884,0,964,0,7258.0
517 N Sugar Maple Ln,2019,1619,1619,0,0,1615,0,7135.0
517 Sugar Maple Ln,2019,1650,828,822,0,828,483,11350.0
518 N Sugar Maple Ln,2019,2444,1186,1258,0,1186,602,7084.0
519 Tawny Elm Pkwy,2020,2084,1082,1002,0,1082,678,6500.0
520 Noble Oak Run,2019,1503,763,740,0,763,663,5905.0
520 Tawny Elm Pkwy,2020,1841,1841,0,0,1841,0,10402.0
5201 Perfect Dr,2019,1771,1771,0,0,1771,1346,10136.0
521 Sugar Maple Ln,2019,1554,763,791,0,763,0,8451.0
522 N Sugar Maple Ln,2019,2045,1006,1039,0,1006,598,6864.0
523 Tawny Elm Pkwy,2019,1650,828,822,0,828,0,7068.0
5232 Perfect Dr,2020,2318,2318,0,0,2318,1450,10453.0
524 Noble Oak Run,2019,1898,929,969,0,929,0,5900.0
524 Tawny Elm Pkwy,2020,3007,1541,1466,0,1541,0,15234.0
525 Burnt Sienna Dr,2019,3593,1859,1734,0,1916,1276,12469.0
525 Dragon Willow Ln,2019,2081,2081,0,0,2081,0,13881.0
525 Stone Arbor Trl,2020,2056,1068,988,0,1068,0,7952.0
525 Sugar Maple Ln,2019,1482,1482,0,0,1482,1082,7863.0
525 Wingra St,2019,1745,1133,612,0,1133,0,3360.0
526 Dragon Willow Ln,2019,1642,1642,0,0,1642,791,12373.0
526 N Sugar Maple Ln,2019,2286,1247,1039,0,1247,0,6864.0
528 Tawny Elm Pkwy,2019,3251,1673,1578,0,1673,0,12849.0
529 Sugar Maple Ln,2019,1848,964,884,0,964,437,6978.0
529 Woodward Dr,2019,4137,2182,1955,0,3055,2517,13530.0
530 N Sugar Maple Ln,2019,2045,1006,1039,0,1006,0,5736.0
5303 Hoboken Rd,2019,893,893,0,0,914,0,24975.0
531 Feather Sound Dr,2020,1519,777,742,0,777,0,7358.0
531 Stone Arbor Trl,2020,1578,1578,0,0,1578,0,6549.0
532 Morningstar Ln,2020,2160,2160,0,0,2160,0,10575.0
532 Roman Mist Way,2019,2045,1006,1039,0,1006,0,7514.0
532 Tawny Elm Pkwy,2019,3030,1666,1364,0,1666,0,10516.0
534 N Sugar Maple Ln,2019,2035,996,1039,0,996,0,5653.0
536 Burnt Sienna Dr,2019,2152,2152,0,0,2152,1543,9237.0
536 Tawny Elm Pkwy,2020,3016,1408,1608,0,1408,0,10609.0
537 Burnt Sienna Dr,2019,2748,1401,1347,0,1385,840,12057.0
537 Roman Mist Way,2019,1650,828,822,0,828,0,6717.0
537 Rustic Rise Way,2020,2782,1391,1391,0,1391,0,11743.0
538 N Sugar Maple Ln,2019,2132,1128,1004,0,1128,0,5420.0
538 Rustic Rise Way,2020,1805,1805,0,0,1797,0,11910.0
538 Stone Arbor Trl,2020,1482,1482,0,0,1482,183,5800.0
54 Merlham Dr,2020,1984,1984,0,0,1480,950,8375.0
541 Burnt Sienna Dr,2019,2415,1333,1082,0,1344,866,11216.0
543 Roman Mist Way,2020,2088,1086,1002,0,1086,0,5800.0
543 Stone Arbor Trl,2020,1416,1416,0,0,1416,30,5661.0
5438 Lake Mendota Dr,2019,3680,2340,1340,0,2324,1180,16533.0
544 Stone Arbor Trl,2020,1412,1412,0,0,1412,0,4987.0
545 Burnt Sienna Dr,2019,2051,2051,0,0,2033,1239,9821.0
5450 Lake Mendota Dr,2019,2856,1320,1536,0,1529,892,13157.56
548 Burnt Sienna Dr,2019,2104,2104,0,0,20196,0,11480.0
549 Roman Mist Way,2019,1848,964,884,0,964,0,5800.0
5512 Levitan Ln,2020,1910,938,972,0,932,0,5015.0
5514 Spring Tide Way,2020,1484,752,732,0,1470,0,3215.0
5516 Levitan Ln,2020,2088,1086,1002,0,1082,0,5015.0
5516 Spring Tide Way,2020,1484,752,732,0,1470,0,3215.0
5518 Spring Tide Way,2020,1520,754,766,0,754,0,3215.0
5519 Levitan Ln,2020,1502,763,739,0,763,0,5900.0
5520 Spring Tide Way,2020,1520,754,766,0,754,0,5129.0
5523 Levitan Ln,2019,2045,1006,1039,0,1006,574,7002.0
5524 Levitan Ln,2020,1578,1578,0,0,1578,832,5015.0
555 Roman Mist Way,2019,1809,911,898,0,911,0,4987.0
5601 Rustic Pebble Ln,2019,2063,1064,999,0,1055,0,5832.0
5605 Rustic Pebble Ln,2020,1628,828,800,0,828,0,4033.0
5607 Levitan Ln,2020,1650,838,812,0,828,0,7734.0
5608 Levitan Ln,2020,2045,1006,1039,0,1006,0,6089.0
5609 Rustic Pebble Ln,2020,1578,808,770,0,808,0,4033.0
5611 Levitan Ln,2019,1848,964,884,0,964,0,5899.0
5612 Levitan Ln,2020,2189,1149,1040,0,1149,0,5561.0
5613 Rustic Pebble Ln,2019,1610,822,788,0,822,0,4033.0
5615 Levitan Ln,2020,2088,1086,1002,0,1082,0,5900.0
5616 Levitan Ln,2020,1980,1030,950,0,1030,0,5426.0
5632 Levitan Ln,2019,2045,1006,1039,0,1006,0,8050.0
5646 Lake Mendota Dr,2019,3618,1796,1822,0,1796,0,14810.5
5704 Levitan Ln,2019,2155,1132,1023,0,1022,0,7352.0
5708 Levitan Ln,2019,2502,1244,1258,0,1244,0,6900.0
5723 Summer Shine Dr,2019,1556,764,792,0,764,391,24104.0
5727 Summer Shine Dr,2019,1935,1021,914,0,998,0,28877.0
5728 Levitan Ln,2019,2400,1208,1192,0,1208,0,6900.0
5731 Summer Shine Dr,2019,2087,1085,1002,0,1081,0,24330.0
5816 Levitan Ln,2019,1841,1841,0,0,1841,0,7583.0
5820 Lien Rd,2019,1608,808,800,0,808,0,3804.0
5822 Lien Rd,2019,1608,808,800,0,808,0,3069.0
5826 Lien Rd,2019,1608,800,808,0,800,0,3046.0
5828 Lien Rd,2019,1608,800,808,0,800,0,2967.0
5832 Lien Rd,2019,1608,808,800,0,800,0,2866.0
