NAME,DATE,POS_7DAYAVG,DTH_NEW,DTH_NEW_2WK
Jackson,2021-01-10,9.71,0.0,0.0
Jefferson,2021-01-10,43.0,0.0,0.0
Juneau,2021-01-10,25.0,0.0,0.0
Kenosha,2021-01-10,88.0,0.0,0.0
Kewaunee,2021-01-10,12.57,0.0,0.0
La Crosse,2021-01-10,69.71,0.0,0.0
Lafayette,2021-01-10,5.29,0.0,0.0
Langlade,2021-01-10,5.29,0.0,0.0
Lincoln,2021-01-10,19.57,0.0,0.0
Manitowoc,2021-01-10,43.29,0.0,0.0
Marathon,2021-01-10,62.14,0.0,0.0
Marinette,2021-01-10,16.71,0.0,0.0
Marquette,2021-01-10,4.43,0.0,0.0
Menominee,2021-01-10,4.57,0.0,0.0
Milwaukee,2021-01-10,456.29,1.0,1.0
Waukesha,2021-01-11,284.86,0.0,2.0
Waupaca,2021-01-11,20.29,0.0,0.0
Waushara,2021-01-11,4.71,0.0,0.0
Winnebago,2021-01-11,60.57,0.0,0.0
Wood,2021-01-11,29.29,1.0,0.0
Juneau,2021-01-11,25.43,0.0,1.0
Kenosha,2021-01-11,85.29,0.0,0.0
Kewaunee,2021-01-11,12.57,0.0,0.0
La Crosse,2021-01-11,66.86,0.0,0.0
Lafayette,2021-01-11,6.14,1.0,0.0
Langlade,2021-01-11,5.14,0.0,0.0
Lincoln,2021-01-11,19.86,0.0,1.0
Manitowoc,2021-01-11,45.43,0.0,0.0
Marathon,2021-01-11,64.29,0.0,0.0
Marinette,2021-01-11,17.43,0.0,0.0
Marquette,2021-01-11,4.71,0.0,0.0
Menominee,2021-01-11,3.29,0.0,0.0
Milwaukee,2021-01-11,472.0,0.0,1.0
Ozaukee,2020-06-01,3.86,0.0,0.0
Pepin,2020-06-01,0.0,0.0,0.0
Pierce,2020-06-01,0.43,0.0,0.0
Polk,2020-06-01,0.43,0.0,0.0
Portage,2020-06-01,0.29,0.0,0.0
Price,2020-06-01,0.0,0.0,0.0
Racine,2020-06-01,48.43,3.0,0.0
Richland,2020-06-01,0.0,0.0,0.0
Rock,2020-06-01,10.0,0.0,0.0
Rusk,2020-06-01,0.14,0.0,0.0
St. Croix,2020-06-01,3.43,0.0,0.0
Sauk,2020-06-01,0.14,0.0,0.0
Sawyer,2020-06-01,0.14,0.0,0.0
Shawano,2020-06-01,1.43,0.0,0.0
Sheboygan,2020-06-01,1.14,0.0,0.0
Taylor,2020-06-01,0.14,0.0,0.0
Trempealeau,2020-06-01,0.71,0.0,0.0
Vernon,2020-06-01,0.71,0.0,0.0
Vilas,2020-06-01,0.29,0.0,0.0
Walworth,2020-06-01,6.57,0.0,0.0
Washburn,2020-06-01,0.0,0.0,0.0
Washington,2020-06-01,7.29,0.0,0.0
Adams,2020-06-02,0.0,0.0,0.0
Ashland,2020-06-02,0.0,0.0,0.0
Barron,2020-06-02,1.14,0.0,0.0
Bayfield,2020-06-02,0.0,0.0,0.0
Brown,2020-06-02,12.14,0.0,1.0
Buffalo,2020-06-02,0.14,0.0,0.0
Burnett,2020-06-02,0.0,0.0,0.0
Calumet,2020-06-02,0.71,0.0,0.0
Chippewa,2020-06-02,0.43,0.0,0.0
Clark,2020-06-02,0.71,0.0,0.0
Columbia,2020-06-02,0.86,0.0,0.0
Crawford,2020-06-02,0.0,0.0,0.0
Dane,2020-06-02,18.43,0.0,0.0
Dodge,2020-06-02,9.14,0.0,0.0
Door,2020-06-02,0.0,0.0,0.0
Douglas,2020-06-02,0.0,0.0,0.0
Dunn,2020-06-02,0.14,0.0,0.0
Eau Claire,2020-06-02,2.0,0.0,0.0
Florence,2020-06-02,0.0,0.0,0.0
Fond du Lac,2020-06-02,5.14,0.0,0.0
Forest,2020-06-02,2.29,0.0,0.0
Grant,2020-06-02,1.29,0.0,0.0
Green,2020-06-02,1.86,0.0,0.0
Green Lake,2020-06-02,0.71,0.0,0.0
Iowa,2020-06-02,0.57,0.0,0.0
Iron,2020-06-02,0.0,0.0,0.0
Jackson,2020-06-02,0.43,0.0,0.0
Jefferson,2020-06-02,2.86,0.0,0.0
Juneau,2020-06-02,0.0,0.0,0.0
Kenosha,2020-06-02,27.57,0.0,1.0
Kewaunee,2020-06-02,0.29,0.0,0.0
La Crosse,2020-06-02,0.57,0.0,0.0
Lafayette,2020-06-02,0.29,0.0,0.0
Langlade,2020-06-02,0.0,0.0,0.0
Lincoln,2020-06-02,0.29,0.0,0.0
Manitowoc,2020-06-02,0.71,0.0,0.0
Marathon,2020-06-02,1.43,0.0,0.0
Marinette,2020-06-02,0.0,0.0,0.0
Marquette,2020-06-02,0.14,0.0,0.0
Menominee,2020-06-02,0.0,0.0,0.0
Milwaukee,2020-06-02,212.43,10.0,2.0
Monroe,2020-06-02,0.29,0.0,0.0
Oconto,2020-06-02,0.57,0.0,0.0
Oneida,2020-06-02,0.29,0.0,0.0
Outagamie,2020-06-02,5.14,0.0,0.0
Ozaukee,2020-06-02,3.86,0.0,2.0
Pepin,2020-06-02,0.0,0.0,0.0
Pierce,2020-06-02,0.57,0.0,0.0
Polk,2020-06-02,0.86,0.0,0.0
Portage,2020-06-02,0.57,0.0,0.0
Price,2020-06-02,0.0,0.0,0.0
Racine,2020-06-02,52.43,1.0,1.0
Richland,2020-06-02,0.0,0.0,0.0
Rock,2020-06-02,9.0,0.0,1.0
Rusk,2020-06-02,0.14,0.0,0.0
St. Croix,2020-06-02,3.57,0.0,0.0
Sauk,2020-06-02,0.29,0.0,0.0
Sawyer,2020-06-02,0.14,0.0,0.0
Shawano,2020-06-02,1.71,0.0,0.0
Sheboygan,2020-06-02,1.71,0.0,0.0
Taylor,2020-06-02,0.14,0.0,0.0
Trempealeau,2020-06-02,0.71,0.0,0.0
Vernon,2020-06-02,0.57,0.0,0.0
Vilas,2020-06-02,0.29,0.0,0.0
Walworth,2020-06-02,6.71,0.0,0.0
Washburn,2020-06-02,0.0,0.0,0.0
Washington,2020-06-02,7.29,1.0,0.0
Waukesha,2020-06-02,20.57,0.0,0.0
Waupaca,2020-06-02,2.71,0.0,1.0
Waushara,2020-06-02,0.0,0.0,0.0
Winnebago,2020-06-02,11.29,0.0,0.0
Wood,2020-06-02,0.14,0.0,0.0
Juneau,2020-06-03,0.0,0.0,0.0
