X,Y,OBJECTID,StopID,Route,Lat,Lon,DailyBoardings,DotSize
-89.311586993191526,43.073650052479159,15696,7462,37,43.073658,-89.311593,0.34,3374.36
-89.321697988705665,43.090320050186506,15697,7466,38,43.090328,-89.321704,8.83,88348
-89.289060997928402,43.09714004788956,15698,7469,33,43.097148,-89.289067,4.95,49474.38
-89.292786995684281,43.099050047890593,15699,7470,32,43.099058,-89.292793,0.45,4484.74
-89.292786995684281,43.099050047890593,15700,7470,33,43.099058,-89.292793,0.34,3373.25
-89.316243991155346,43.079429052322837,15701,7475,38,43.079437,-89.31625,7.14,71358
-89.296136996366002,43.084156049891774,15702,7477,35,43.084164,-89.296143,0.34,3406.09
-89.308795994819334,43.066584054198628,15703,7483,37,43.066592,-89.308802,0.34,3374.36
-89.26366600487431,43.099734045817641,15704,7488,33,43.099742,-89.263672,0.11,1124.42
-89.316389990591503,43.081354051538803,15705,7490,39,43.081362,-89.316396,0.11,1141.73
-89.261408005107739,43.098836045968859,15706,7492,33,43.098844,-89.261414,0.9,8995.34
-89.313079994773801,43.058664055040751,15707,7494,38,43.058672,-89.313086,3.17,31714.67
-89.307741995804932,43.062214054802169,15708,7499,31,43.062222,-89.307748,0.57,5654.36
-89.286812000723629,43.066679052592804,15709,7500,35,43.066687,-89.286818,0.45,4541.45
-89.282657001894563,43.076648050835331,15710,7507,32,43.076656,-89.282663,0.9,8969.49
-89.282657001894563,43.076648050835331,15711,7507,35,43.076656,-89.282663,1.59,15895.09
-89.295988997591408,43.076913051684315,15712,7513,32,43.076921,-89.295995,0.22,2242.37
-89.317684989370562,43.097748048862421,15713,7514,39,43.097756,-89.317691,0.23,2283.45
-89.312061994382717,43.062343054345355,15714,7520,31,43.062351,-89.312068,0.79,7916.11
-89.278941000699291,43.088283048225769,15715,7526,33,43.088291,-89.278947,4.61,46101.13
-89.307106993877795,43.073207052336713,15716,7538,37,43.073215,-89.307113,0.34,3374.36
-89.307106993877795,43.073207052336713,15717,7538,39,43.073215,-89.307113,8.91,89054.57
-89.286936999400311,43.084603049461151,15718,7540,32,43.084611,-89.286943,0.78,7848.3
-89.286936999400311,43.084603049461151,15719,7540,33,43.084611,-89.286943,2.14,21363.94
-89.286936999400311,43.084603049461151,15720,7540,35,43.084611,-89.286943,0.34,3406.09
-89.296180997368751,43.073466051908106,15721,7544,39,43.073474,-89.296187,0.34,3425.18
-89.288353997905162,43.098894047168088,15722,7547,33,43.098902,-89.28836,1.35,13493.01
-89.283616001867244,43.066586052767946,15723,7550,35,43.066594,-89.283622,2.16,21571.9
-89.296911995097645,43.099001047578206,15724,7552,32,43.099009,-89.296918,0.11,1121.19
-89.296911995097645,43.099001047578206,15725,7552,33,43.099009,-89.296918,0.34,3373.25
-89.275276003475966,43.075843050684114,15726,7558,35,43.075851,-89.275282,5.45,54497.44
-89.317991990786624,43.075204053279812,15727,7559,16,43.075212,-89.317998,2.92,29247.68
-89.317991990786624,43.075204053279812,15728,7559,39,43.075212,-89.317998,0.23,2283.45
-89.260747006769122,43.085862048292135,15729,7560,33,43.08587,-89.260753,0.45,4497.67
-89.319667990237107,43.077068052996331,15730,7567,38,43.077076,-89.319674,4.3,43041.34
-89.293660000165886,43.06164605420669,15731,7569,31,43.061654,-89.293666,3.17,31664.42
-89.293660000165886,43.06164605420669,15732,7569,39,43.061654,-89.293666,1.14,11417.25
-89.314277992583001,43.073527053267277,15733,7578,16,43.073535,-89.314284,2.36,23623.12
-89.291282999461558,43.065242052758919,15734,7583,39,43.06525,-89.291289,6.51,65078.34
-89.26987800267851,43.099303046432453,15735,7587,33,43.099311,-89.269884,3.15,31483.7
-89.293167996862991,43.087125049819079,15736,7590,32,43.087133,-89.293174,0.11,1121.19
-89.291692998602414,43.076971051149208,15737,7601,32,43.076979,-89.291699,0.11,1121.19
-89.291692998602414,43.076971051149208,15738,7601,35,43.076979,-89.291699,0.23,2270.73
-89.323627991289797,43.061896055036911,15739,7605,16,43.061904,-89.323634,29.59,295851.5
-89.323627991289797,43.061896055036911,15740,7605,31,43.061904,-89.323634,1.36,13570.47
-89.323627991289797,43.061896055036911,15741,7605,38,43.061904,-89.323634,0.34,3398
-89.28330500175737,43.073650051346881,15742,7610,32,43.073658,-89.283311,2.58,25787.28
-89.297990998806426,43.062295053656307,15743,7617,39,43.062303,-89.297997,0.11,1141.73
-89.261424005841278,43.091996047329509,15744,7620,33,43.092004,-89.26143,0.9,8995.34
-89.304877992179343,43.098641048468799,15745,7633,30,43.098649,-89.304884,0.67,6694.81
-89.304877992179343,43.098641048468799,15746,7633,32,43.098649,-89.304884,0.11,1121.19
-89.304877992179343,43.098641048468799,15747,7633,33,43.098649,-89.304884,1.01,10119.76
-89.304877992179343,43.098641048468799,15748,7633,35,43.098649,-89.304884,0.91,9082.91
-89.314283993034238,43.062300055045093,15749,7640,16,43.062308,-89.31429,6.75,67494.64
-89.318047990768349,43.07845405227873,15750,7658,38,43.078462,-89.318054,0.23,2265.33
-89.291070000167608,43.067185052443762,15751,7661,35,43.067193,-89.291076,0.45,4541.45
-89.314252992929539,43.066150054081696,15752,7663,16,43.066158,-89.314259,4.95,49496.07
-89.314252992929539,43.066150054081696,15753,7663,38,43.066158,-89.314259,1.81,18122.67
-89.307457995631964,43.06243805403566,15754,7668,31,43.062446,-89.307464,3.17,31664.42
-89.316341990531498,43.080109052419694,15755,7670,38,43.080117,-89.316348,0.23,2265.33
-89.316341990531498,43.080109052419694,15756,7670,39,43.080117,-89.316348,0.23,2283.45
-89.32455998798099,43.083536051686686,15757,7675,38,43.083544,-89.324566,1.25,12459.33
-89.317714991014469,43.078409052320744,15758,7679,38,43.078417,-89.317721,8.95,89480.67
-89.283540001075494,43.079478050158897,15759,7680,32,43.079486,-89.283546,0.22,2242.37
-89.283540001075494,43.079478050158897,15760,7680,35,43.079486,-89.283546,3.63,36331.63
-89.311426993614845,43.073417052650299,15761,7689,37,43.073425,-89.311433,0.11,1124.79
-89.311426993614845,43.073417052650299,15762,7689,39,43.073425,-89.311433,0.23,2283.45
-89.314535992539646,43.066428054287719,15763,7694,16,43.066436,-89.314542,2.25,22498.21
-89.292025997091145,43.090311049407084,15764,7699,33,43.090319,-89.292032,1.01,10119.76
-89.316520989482811,43.092097049708812,15765,7706,39,43.092105,-89.316527,0.57,5708.63
-89.314293992377898,43.071387053310261,15766,7716,16,43.071395,-89.3143,1.91,19123.48
-89.261038005472471,43.098630046319975,15767,7717,33,43.098638,-89.261044,0.22,2248.84
-89.320299989655027,43.083855051266461,15768,7718,38,43.083863,-89.320306,3.17,31714.67
-89.290830997447799,43.095360047761659,15769,7721,33,43.095368,-89.290837,4.16,41603.46
-89.308629994971426,43.062868054282006,15770,7725,37,43.062876,-89.308636,1.35,13497.42
-89.314185993019777,43.069731053790086,15771,7729,16,43.069739,-89.314192,2.59,25872.94
-89.314185993019777,43.069731053790086,15772,7729,38,43.069739,-89.314192,1.7,16990
-89.292917996522462,43.088862048830642,15773,7733,32,43.08887,-89.292924,0.22,2242.37
-89.292917996522462,43.088862048830642,15774,7733,33,43.08887,-89.292924,1.91,19115.1
-89.313571989825817,43.098532048736011,15775,7734,30,43.09854,-89.313578,1.56,15621.23
-89.313571989825817,43.098532048736011,15776,7734,32,43.09854,-89.313578,2.8,28029.65
-89.313571989825817,43.098532048736011,15777,7734,33,43.09854,-89.313578,6.86,68589.49
-89.313571989825817,43.098532048736011,15778,7734,35,43.09854,-89.313578,3.18,31790.17
-89.320146991449846,43.061965055233543,15779,7739,16,43.061973,-89.320153,70.19,701944.25
-89.320146991449846,43.061965055233543,15780,7739,31,43.061973,-89.320153,9.61,96124.14
-89.320146991449846,43.061965055233543,15781,7739,38,43.061973,-89.320153,1.02,10194
-89.327022986816658,43.087450051340994,15782,7745,16,43.087458,-89.327029,0.45,4499.64
-89.327022986816658,43.087450051340994,15783,7745,31,43.087458,-89.327029,0.11,1130.87
-89.327022986816658,43.087450051340994,15784,7745,37,43.087458,-89.327029,0.9,8998.28
-89.327022986816658,43.087450051340994,15785,7745,38,43.087458,-89.327029,5.1,50970
-89.289677997942064,43.084570049494971,15786,7748,32,43.084578,-89.289684,0.67,6727.12
-89.289677997942064,43.084570049494971,15787,7748,33,43.084578,-89.289684,1.69,16866.27
-89.289677997942064,43.084570049494971,15788,7748,35,43.084578,-89.289684,0.68,6812.18
-89.319472991944437,43.058553055324523,15789,7758,38,43.058561,-89.319479,2.04,20388
-89.281868002024467,43.070121051917532,15790,7760,35,43.070129,-89.281874,0.45,4541.45
-89.292073997186833,43.09066104883987,15791,7762,32,43.090669,-89.29208,0.22,2242.37
-89.291625999328232,43.073068051371528,15792,7764,35,43.073076,-89.291632,0.11,1135.36
-89.291877998543441,43.077186050893125,15793,7766,32,43.077194,-89.291884,0.56,5605.93
-89.291877998543441,43.077186050893125,15794,7766,35,43.077194,-89.291884,1.7,17030.45
-89.321512988772099,43.090105050684208,15795,7767,38,43.090113,-89.321519,0.11,1132.67
-89.279811001400574,43.085822048651679,15796,7778,33,43.08583,-89.279817,3.04,30359.28
-89.316443990695078,43.086072051109952,15797,7782,39,43.08608,-89.31645,0.57,5708.63
-89.26697800516078,43.08754404796381,15798,7790,33,43.087552,-89.266984,0.22,2248.84
-89.282997001800126,43.073220051204522,15799,7792,35,43.073228,-89.283003,0.11,1135.36
-89.310104994990809,43.05881405525399,15800,7802,38,43.058822,-89.310111,4.87,48704.67
-89.309804995410772,43.061365055134246,15801,7807,37,43.061373,-89.309811,0.34,3374.36
-89.309804995410772,43.061365055134246,15802,7807,38,43.061373,-89.309811,0.11,1132.67
-89.260463006649147,43.085638048404959,15803,7811,33,43.085646,-89.260469,0.11,1124.42
-89.294718999473574,43.056239054281036,15804,7815,39,43.056247,-89.294725,18.61,186101.21
-89.270979003278455,43.08749504863939,15805,7819,33,43.087503,-89.270985,0.79,7870.92
-89.291607999616801,43.069943052368181,15806,7822,35,43.069951,-89.291614,0.11,1135.36
-89.319889990387622,43.076692052853637,15807,7823,16,43.0767,-89.319896,1.01,10124.2
-89.319889990387622,43.076692052853637,15808,7823,38,43.0767,-89.319896,0.11,1132.67
-89.29288899790572,43.084188050415598,15809,7825,32,43.084196,-89.292895,0.11,1121.19
-89.316181990572559,43.08768305104104,15810,7829,38,43.087691,-89.316188,6.34,63429.34
-89.310101991328096,43.098690048805018,15811,7832,30,43.098698,-89.310108,0.67,6694.81
-89.310101991328096,43.098690048805018,15812,7832,32,43.098698,-89.310108,0.34,3363.56
-89.310101991328096,43.098690048805018,15813,7832,33,43.098698,-89.310108,1.35,13493.01
-89.310101991328096,43.098690048805018,15814,7832,35,43.098698,-89.310108,0.34,3406.09
-89.325028987793829,43.083348051500458,15815,7834,16,43.083356,-89.325035,9.9,98992.14
-89.325028987793829,43.083348051500458,15816,7834,31,43.083356,-89.325035,0.79,7916.11
-89.325028987793829,43.083348051500458,15817,7834,37,43.083356,-89.325035,0.22,2249.57
-89.303356994404353,43.085720050750794,15818,7836,32,43.085728,-89.303363,0.67,6727.12
-89.303356994404353,43.085720050750794,15819,7836,35,43.085728,-89.303363,1.14,11353.63
-89.317916990976684,43.075446053260272,15820,7838,16,43.075454,-89.317923,4.72,47246.25
-89.317916990976684,43.075446053260272,15821,7838,38,43.075454,-89.317923,1.7,16990
-89.282854000877691,43.076881050409867,15822,7840,32,43.076889,-89.28286,1.46,14575.42
-89.282854000877691,43.076881050409867,15823,7840,35,43.076889,-89.28286,3.41,34060.9
-89.307458992253657,43.098778048533603,15824,7846,30,43.098786,-89.307465,0.89,8926.42
-89.307458992253657,43.098778048533603,15825,7846,32,43.098786,-89.307465,0.56,5605.93
-89.307458992253657,43.098778048533603,15826,7846,33,43.098786,-89.307465,2.59,25861.61
-89.307458992253657,43.098778048533603,15827,7846,35,43.098786,-89.307465,1.25,12489
